file,sample,subSample,speed_mph,disk_in,closeDisk,basket,scanStart,roughness,resPercent,resPercentFull
T17P1_20191017_103118,1,5,3,1,6,1,4529,47.5250856145302,24.4616840113529,44.0940170940171
T17P1_20191017_103118,1,6,3,1,6,1,5411,49.3232926252965,19.8249763481552,39.8021978021978
T17P1_20191017_103118,1,7,3,1,6,1,6293,49.5480977851375,25.4976348155156,41.7505087505088
T17P1_20191017_103118,1,8,3,1,6,1,7175,51.7559175058508,11.3491012298959,31.0989010989011
T1P2_20191015_114140,2,1,3,3,-6,1,1001,44.7228172521024,16.1504257332072,31.2323972323972
T1P2_20191015_114140,2,2,3,3,-6,1,1899,47.7676226843142,9.66982024597919,22.6353276353276
T1P2_20191015_114140,2,3,3,3,-6,1,2797,43.6112938934051,15.1892147587512,31.6845746845747
T1P2_20191015_114140,2,4,3,3,-6,1,3695,44.5564116768363,13.6840113528855,30.1086691086691
T1P2_20191015_114140,2,5,3,3,-6,1,4593,41.6046168694577,18.2857142857143,36.1001221001221
T1P2_20191015_114140,2,6,3,3,-6,1,5491,41.434447103117,23.434247871334,38.2083842083842
T1P2_20191015_114140,2,7,3,3,-6,1,6389,42.9641686768642,19.6849574266793,38.3007733007733
T1P2_20191015_114140,2,8,3,3,-6,1,7287,44.6396525308547,25.3803216650899,48.8901098901099
T2P2_20191015_114449,2,1,6.6,3,-6,1,1001,44.5030428404303,9.2232734153264,25.5917785917786
T2P2_20191015_114449,2,2,6.6,3,-6,1,2013,42.2548560149653,7.21002838221381,21.3361823361823
T2P2_20191015_114449,2,3,6.6,3,-6,1,3025,44.7234901085806,10.9801324503311,23.0675620675621
T2P2_20191015_114449,2,4,6.6,3,-6,1,4037,45.597948906946,12.1996215704825,25.6426536426536
T2P2_20191015_114449,2,5,6.6,3,-6,1,5049,44.3565557784153,10.3320719016083,23.4065934065934
T2P2_20191015_114449,2,6,6.6,3,-6,1,6061,40.2353384551891,12.5780510879849,28.4204314204314
T2P2_20191015_114449,2,7,6.6,3,-6,1,7073,44.8890162398211,11.2611163670766,26.7427757427757
T2P2_20191015_114449,2,8,6.6,3,-6,1,8085,44.3611576838992,10.1069063386944,23.9446479446479
T3P2_20191015_115233,2,1,6.6,5,-6,1,1001,48.7149873326554,5.13623462630085,15.6092796092796
T3P2_20191015_115233,2,2,6.6,5,-6,1,2238,50.899559867084,7.01986754966887,18.6597476597477
T3P2_20191015_115233,2,3,6.6,5,-6,1,3475,48.2222638808648,4.24976348155156,14.1383801383801
T3P2_20191015_115233,2,4,6.6,5,-6,1,4712,47.4023653282571,3.84389782403027,14.2295482295482
T3P2_20191015_115233,2,5,6.6,5,-6,1,5949,54.5537848258462,8.42384105960265,25.7171347171347
T3P2_20191015_115233,2,6,6.6,5,-6,1,7186,54.4553472048978,3.3112582781457,14.2625152625153
T3P2_20191015_115233,2,7,6.6,5,-6,1,8423,50.2783562177659,1.74266792809839,8.93813593813594
T3P2_20191015_115233,2,8,6.6,5,-6,1,9660,51.661694469345,1.33112582781457,7.28001628001628
T4P2_20191015_114920,2,1,3,5,-6,1,1001,49.6460606236833,9.53736991485336,26.8717948717949
T4P2_20191015_114920,2,2,3,5,-6,1,1910,45.0976676329683,12.4976348155156,25.6198616198616
T4P2_20191015_114920,2,3,3,5,-6,1,2819,47.9362339967633,8.519394512772,21.4525844525845
T4P2_20191015_114920,2,4,3,5,-6,1,3728,47.8975126872898,5.65562913907285,20.8620268620269
T4P2_20191015_114920,2,5,3,5,-6,1,4637,45.5876377162057,10.4683065279092,27.4904354904355
T4P2_20191015_114920,2,6,3,5,-6,1,5546,48.6023161435004,12.8306527909177,28.9283679283679
T4P2_20191015_114920,2,7,3,5,-6,1,6455,46.3421614273265,8.65562913907285,25.0724460724461
T4P2_20191015_114920,2,8,3,5,-6,1,7364,48.9423589241649,11.0908230842006,26.2222222222222
T5P2_2_20191017_110044,2,1,3,1,-6,1,1001,53.400145399479,27.2488174077578,43.1172161172161
T5P2_2_20191017_110044,2,2,3,1,-6,1,2037,55.0848982568821,21.1116367076632,37.1184371184371
T5P2_2_20191017_110044,2,3,3,1,-6,1,3073,54.8277367325488,21.6688741721854,37.2132682132682
T5P2_2_20191017_110044,2,4,3,1,-6,1,4109,56.5191484820463,21.4881740775781,36.7944647944648
T5P2_2_20191017_110044,2,5,3,1,-6,1,5145,57.2736860163775,18.2904446546831,32.1050061050061
T5P2_2_20191017_110044,2,6,3,1,-6,1,6181,60.0040828256326,14.286660359508,26.8408628408628
T5P2_2_20191017_110044,2,7,3,1,-6,1,7217,57.1433592670541,11.9280983916746,29.4814814814815
T5P2_2_20191017_110044,2,8,3,1,-6,1,8253,61.5544480070606,15.1078524124882,32.019129019129
T6P2_20191017_110412,2,1,6.6,1,-6,1,1001,48.6835551337867,17.9394512771996,31.7822547822548
T6P2_20191017_110412,2,2,6.6,1,-6,1,2390,46.0837289240733,15.6925260170293,31.7667887667888
T6P2_20191017_110412,2,3,6.6,1,-6,1,3779,50.0320741491331,10.2686849574267,23.043549043549
T6P2_20191017_110412,2,4,6.6,1,-6,1,5168,43.6781686068567,19.4011352885525,35.7342287342287
T6P2_20191017_110412,2,5,6.6,1,-6,1,6557,44.6249079444038,18.5808893093661,34.8754578754579
T6P2_20191017_110412,2,6,6.6,1,-6,1,7946,43.4537005288222,21.3424787133396,36.5388685388685
T6P2_20191017_110412,2,7,6.6,1,-6,1,9335,45.0519218955935,13.0302743614002,27.9470899470899
T6P2_20191017_110412,2,8,6.6,1,-6,1,10724,48.9447566227907,15.5137180700095,33.4733414733415
T7P2_20191015_120346,2,1,6.6,3,2,1,1001,43.1956370715785,7.69725638599811,24.3976393976394
T7P2_20191015_120346,2,2,6.6,3,2,1,2019,43.9221329953861,7.74929044465468,20.1322751322751
T7P2_20191015_120346,2,3,6.6,3,2,1,3037,44.6950946759275,6.61967833491012,22.2067562067562
T7P2_20191015_120346,2,4,6.6,3,2,1,4055,48.3339846717058,9.99337748344371,24.984126984127
T7P2_20191015_120346,2,5,6.6,3,2,1,5073,46.0743389441356,8.01324503311258,21.8510378510379
T7P2_20191015_120346,2,6,6.6,3,2,1,6091,43.7822451135037,11.2734153263955,27.4798534798535
T7P2_20191015_120346,2,7,6.6,3,2,1,7109,45.7913022660621,9.86092715231788,22.8156288156288
T7P2_20191015_120346,2,8,6.6,3,2,1,8127,48.8822535849111,8.63576158940397,28.986568986569
T8P2_20191015_120029,2,1,3,3,2,1,1001,46.4700785053814,8.0406811731315,23.0671550671551
T8P2_20191015_120029,2,2,3,3,2,1,1963,48.733407456481,9.24219489120151,19.1697191697192
T8P2_20191015_120029,2,3,3,3,2,1,2925,47.9306975018544,4.65184484389782,17.6866096866097
T8P2_20191015_120029,2,4,3,3,2,1,3887,42.1400850740141,10.7464522232734,29.1851851851852
T8P2_20191015_120029,2,5,3,3,2,1,4849,39.3555698966703,13.8098391674551,31.997150997151
T8P2_20191015_120029,2,6,3,3,2,1,5811,37.8864337513733,18.7691579943236,38.1868131868132
T8P2_20191015_120029,2,7,3,3,2,1,6773,42.2506651372985,8.42100283822138,27.4765974765975
T8P2_20191015_120029,2,8,3,3,2,1,7735,42.7404474495184,16.7237464522233,33.5543345543346
T10P2_20191015_121031,2,1,6.6,5,2,1,1001,53.0691575701747,3.66698202459792,12.3471713471713
T10P2_20191015_121031,2,2,6.6,5,2,1,1793,54.7596854567245,2.5127719962157,9.74521774521775
T10P2_20191015_121031,2,3,6.6,5,2,1,2585,54.7094525744025,2.21286660359508,10.1900691900692
T10P2_20191015_121031,2,4,6.6,5,2,1,3377,57.4324020418958,1.48912015137181,8.84574684574685
T10P2_20191015_121031,2,5,6.6,5,2,1,4169,56.8931419288231,3.38221381267739,13.2991452991453
T10P2_20191015_121031,2,6,6.6,5,2,1,4961,56.848028737598,3.4484389782403,12.8111518111518
T10P2_20191015_121031,2,7,6.6,5,2,1,5753,51.896097282175,6.05960264900662,15.6182336182336
T10P2_20191015_121031,2,8,6.6,5,2,1,6545,50.3428152535538,5.08893093661306,15.9479039479039
T12P2_20191017_111329,2,1,3,1,2,1,1001,45.6130003840265,34.5629139072848,53.1884411884412
T12P2_20191017_111329,2,2,3,1,2,1,2719,44.334037623003,14.5648060548723,34.7350427350427
T12P2_20191017_111329,2,3,3,1,2,1,4437,50.3043854667555,12.081362346263,31.3532763532764
T12P2_20191017_111329,2,4,3,1,2,1,6155,46.0980844160978,28.961210974456,47.6385836385836
T12P2_20191017_111329,2,5,3,1,2,1,7873,41.0271559398981,28.0122989593188,47.6365486365486
T12P2_20191017_111329,2,6,3,1,2,1,9591,43.1327146043923,31.5487228003784,50.6280016280016
T12P2_20191017_111329,2,7,3,1,2,1,11309,46.8067178908966,27.6575212866604,47.5584045584046
T12P2_20191017_111329,2,8,3,1,2,1,13027,44.4790481395316,25.3859981078524,43.5901505901506
T13P2_20191015_121508,2,1,3,3,6,1,1001,50.4348244626452,14.8268684957427,24.8819698819699
T13P2_20191015_121508,2,2,3,3,6,1,1876,52.0303327721904,12.8155156102176,27.8835978835979
T13P2_20191015_121508,2,3,3,3,6,1,2751,50.9375557518964,10.003784295175,28.986161986162
T13P2_20191015_121508,2,4,3,3,6,1,3626,52.629420982799,15.1315042573321,27.986161986162
T13P2_20191015_121508,2,5,3,3,6,1,4501,51.9876839506949,15.6319772942289,27.964590964591
T13P2_20191015_121508,2,6,3,3,6,1,5376,51.0995792534072,14.0917691579943,27.5307285307285
T13P2_20191015_121508,2,7,3,3,6,1,6251,50.1726293863415,10.9782403027436,26.3764753764754
T13P2_20191015_121508,2,8,3,3,6,1,7126,57.5863984112837,7.8713339640492,23.2865282865283
T14P2_20191015_121849,2,1,6.6,3,6,1,1001,50.493677607259,7.76726584673605,19.3532763532764
T14P2_20191015_121849,2,2,6.6,3,6,1,1710,44.3003159447152,7.89593188268685,20.989417989418
T14P2_20191015_121849,2,3,6.6,3,6,1,2419,42.5532347105506,10.6215704824976,23.7537647537648
T14P2_20191015_121849,2,4,6.6,3,6,1,3128,45.4191720735152,10.0964995269631,25.022792022792
T14P2_20191015_121849,2,5,6.6,3,6,1,3837,46.5383334168546,13.6064333017975,30.961741961742
T14P2_20191015_121849,2,6,6.6,3,6,1,4546,44.3473899523535,13.0482497634816,29.7814407814408
T14P2_20191015_121849,2,7,6.6,3,6,1,5255,53.239055768027,5.19016083254494,21.1408221408221
T14P2_20191015_121849,2,8,6.6,3,6,1,5964,50.3398547465492,8.66698202459792,24.971916971917
T15P2_20191015_122209,2,1,6.6,5,6,1,1001,45.5625565616209,3.35004730368969,10.0936100936101
T15P2_20191015_122209,2,2,6.6,5,6,1,2069,45.6248227073068,7.74929044465468,21.5734635734636
T15P2_20191015_122209,2,3,6.6,5,6,1,3137,46.1774148227912,7.08136234626301,22.6487586487586
T15P2_20191015_122209,2,4,6.6,5,6,1,4205,47.6938361363051,3.1996215704825,11.1021571021571
T15P2_20191015_122209,2,5,6.6,5,6,1,5273,52.9920137199361,4.52034058656575,14.005698005698
T15P2_20191015_122209,2,6,6.6,5,6,1,6341,49.8437958983451,4.92431409649953,13.037037037037
T15P2_20191015_122209,2,7,6.6,5,6,1,7409,48.9224409381339,3.35950804162725,9.23646723646724
T15P2_20191015_122209,2,8,6.6,5,6,1,8477,50.5603584325827,2.99526963103122,10.6227106227106
T16P2_20191015_122556,2,1,3,5,6,1,1001,49.242128810395,7.40302743614002,16.4444444444444
T16P2_20191015_122556,2,2,3,5,6,1,1921,44.8060452212545,8.5600756859035,13.3711843711844
T16P2_20191015_122556,2,3,3,5,6,1,2841,44.9791835634796,5.20719016083255,12.7077737077737
T16P2_20191015_122556,2,4,3,5,6,1,3761,46.8524639374472,5.75402081362346,9.72161172161172
T16P2_20191015_122556,2,5,3,5,6,1,4681,51.2670186871494,5.31882686849574,8.64224664224664
T16P2_20191015_122556,2,6,3,5,6,1,5601,52.8004246132132,3.46925260170293,6.37118437118437
T16P2_20191015_122556,2,7,3,5,6,1,6521,51.268161188653,3.86944181646168,9.42897842897843
